low,high,open,close,volume,year,days,month_sin,month_cos,day_sin,day_cos,weekday_sin,weekday_cos
0.0,-0.10536049181596807,inf,0.0,-5.703782474656201,0.2833333333333333,0.2845280308810988,0.5000000000000003,-0.8660254037844385,0.7907757369376989,-0.6121059825476626,0.7818314824680298,0.6234898018587336
0.0,0.0,0.0,0.0,0.0,0.2833333333333333,0.2845729161991113,0.5000000000000003,-0.8660254037844385,0.6513724827222223,-0.758758122692791,0.9749279121818236,-0.22252093395631434
0.0,0.0,0.0,0.0,0.0,0.2833333333333333,0.2846178015171238,0.5000000000000003,-0.8660254037844385,0.48530196253108104,-0.8743466161445821,0.43388373911755823,-0.900968867902419
0.0,0.0,0.0,0.0,0.0,0.2833333333333333,0.28466268683513624,0.5000000000000003,-0.8660254037844385,0.29936312297335804,-0.9541392564000488,-0.433883739117558,-0.9009688679024191
0.0,0.0,0.0,0.0,0.0,0.2833333333333333,0.28470757215314874,0.5000000000000003,-0.8660254037844385,0.10116832198743272,-0.994869323391895,-0.9749279121818236,-0.2225209339563146
0.0,0.0,0.0,0.0,0.0,0.2833333333333333,0.2848422281071862,0.5000000000000003,-0.8660254037844385,-0.4853019625310808,-0.8743466161445822,0.7818314824680298,0.6234898018587336
0.0,0.0,0.0,0.0,0.0,0.2833333333333333,0.2848871134251986,0.5000000000000003,-0.8660254037844385,-0.6513724827222217,-0.7587581226927913,0.9749279121818236,-0.22252093395631434
0.0,0.10536049181596817,-inf,0.0,7.495541943884256,0.2833333333333333,0.2849319987432111,0.5000000000000003,-0.8660254037844385,-0.7907757369376986,-0.6121059825476627,0.43388373911755823,-0.900968867902419
0.0,-0.10536049181596807,inf,0.0,-7.495541943884256,0.2833333333333333,0.28497688406122357,0.5000000000000003,-0.8660254037844385,-0.8978045395707417,-0.44039415155763423,-0.433883739117558,-0.9009688679024191
0.0,0.0,0.0,0.0,0.0,0.2833333333333333,0.28502176937923607,0.5000000000000003,-0.8660254037844385,-0.9680771188662041,-0.2506525322587213,-0.9749279121818236,-0.2225209339563146
0.0,0.0,0.0,0.0,0.0,0.2833333333333333,0.285201310651286,0.5000000000000003,-0.8660254037844385,-0.8486442574947509,0.5289640103269624,0.9749279121818236,-0.22252093395631434
0.0,0.0,0.0,0.0,0.0,0.2833333333333333,0.28524619596929845,0.5000000000000003,-0.8660254037844385,-0.7247927872291207,0.6889669190756859,0.43388373911755823,-0.900968867902419
0.0,0.10536049181596817,-inf,0.0,6.802394763324311,0.2833333333333333,0.28529108128731095,0.5000000000000003,-0.8660254037844385,-0.5712682150947924,0.8207634412072763,-0.433883739117558,-0.9009688679024191
0.0,-0.10536049181596807,inf,0.0,-6.802394763324311,0.2833333333333333,0.2853359666053234,0.5000000000000003,-0.8660254037844385,-0.3943558551133187,0.9189578116202306,-0.9749279121818236,-0.2225209339563146
0.0,0.0,0.0,0.0,0.0,0.2833333333333333,0.28547062255936084,1.2246467991473532e-16,-1.0,0.20129852008866006,0.9795299412524945,0.7818314824680298,0.6234898018587336
0.0,0.0,0.0,0.0,0.0,0.2833333333333333,0.28551550787737334,1.2246467991473532e-16,-1.0,0.39435585511331855,0.9189578116202306,0.9749279121818236,-0.22252093395631434
0.0,0.0,0.0,0.0,0.0,0.2833333333333333,0.2855603931953858,1.2246467991473532e-16,-1.0,0.5712682150947923,0.8207634412072763,0.43388373911755823,-0.900968867902419
0.0,0.0,0.0,0.0,0.0,0.2833333333333333,0.2856052785133983,1.2246467991473532e-16,-1.0,0.72479278722912,0.6889669190756866,-0.433883739117558,-0.9009688679024191
0.0,0.0,0.0,0.0,0.0,0.2833333333333333,0.2856501638314108,1.2246467991473532e-16,-1.0,0.8486442574947509,0.5289640103269624,-0.9749279121818236,-0.2225209339563146
0.0,0.0,0.0,0.0,0.0,0.2833333333333333,0.2857848197854482,1.2246467991473532e-16,-1.0,0.9987165071710528,-0.05064916883871264,0.7818314824680298,0.6234898018587336
0.0,0.0,0.0,0.0,0.0,0.2833333333333333,0.2858297051034607,1.2246467991473532e-16,-1.0,0.9680771188662043,-0.2506525322587204,0.9749279121818236,-0.22252093395631434
0.0,0.10536049181596817,-inf,0.0,5.703782474656201,0.2833333333333333,0.2858745904214732,1.2246467991473532e-16,-1.0,0.8978045395707416,-0.4403941515576344,0.43388373911755823,-0.900968867902419
0.0,-0.10536049181596807,inf,0.0,-5.703782474656201,0.2833333333333333,0.2859194757394856,1.2246467991473532e-16,-1.0,0.7907757369376989,-0.6121059825476626,-0.433883739117558,-0.9009688679024191
0.0,0.0,0.0,0.0,0.0,0.2833333333333333,0.2859643610574981,1.2246467991473532e-16,-1.0,0.6513724827222223,-0.758758122692791,-0.9749279121818236,-0.2225209339563146
0.0,0.0,0.0,0.0,0.0,0.2833333333333333,0.28609901701153556,1.2246467991473532e-16,-1.0,0.10116832198743272,-0.994869323391895,0.7818314824680298,0.6234898018587336
0.0,0.0,0.0,0.0,0.0,0.2833333333333333,0.286143902329548,1.2246467991473532e-16,-1.0,-0.10116832198743204,-0.9948693233918952,0.9749279121818236,-0.22252093395631434
0.0,0.10536049181596817,-inf,0.0,6.396929655216146,0.2833333333333333,0.2861887876475605,1.2246467991473532e-16,-1.0,-0.29936312297335776,-0.9541392564000489,0.43388373911755823,-0.900968867902419
0.0,0.0,NaN,0.0,0.0,0.2833333333333333,0.286233672965573,1.2246467991473532e-16,-1.0,-0.4853019625310808,-0.8743466161445822,-0.433883739117558,-0.9009688679024191
0.0,-0.10536049181596807,inf,0.0,-6.396929655216146,0.2833333333333333,0.28627855828358545,1.2246467991473532e-16,-1.0,-0.6513724827222217,-0.7587581226927913,-0.9749279121818236,-0.2225209339563146
0.0,0.0,0.0,0.0,0.0,0.2833333333333333,0.2864132142376229,1.2246467991473532e-16,-1.0,-0.9680771188662041,-0.2506525322587213,0.7818314824680298,0.6234898018587336
0.027398948413132514,0.10536049181596817,-inf,0.027398948413132514,6.802394763324311,0.2833333333333333,0.2864580995556354,1.2246467991473532e-16,-1.0,-0.9987165071710528,-0.05064916883871355,0.9749279121818236,-0.22252093395631434
0.0,-0.07796154340283551,inf,0.0,-6.802394763324311,0.2833333333333333,0.28650298487364784,1.2246467991473532e-16,-1.0,-0.9884683243281114,0.15142777750457667,0.43388373911755823,-0.900968867902419
0.0,0.07796154340283555,-inf,0.0,6.396929655216146,0.2833333333333333,0.28654787019166034,1.2246467991473532e-16,-1.0,-0.9377521321470804,0.3473052528448203,-0.433883739117558,-0.9009688679024191
0.0,0.0,NaN,0.0,0.6931471805599453,0.2833333333333333,0.2865927555096728,1.2246467991473532e-16,-1.0,-0.8486442574947509,0.5289640103269624,-0.9749279121818236,-0.2225209339563146
